"product_type","product_code","product_name","model_code","marketplace","external_code","external_url","listing_title","is_active"
"design","G_H00004","Slasher R4 - Graphics For Honda","4LGR","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","4SUC","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","63SQ","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","6KXK","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","74PT","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","8BA9","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","8K6R","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","96HJ","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","A65D","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","AH34","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","BCHX","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","CTLJ","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","EJHR","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","ELCL","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","F73J","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","G3UP","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","GRQL","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","H6YT","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","HGRY","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","HVEF","shoptet","","","Slasher R4 - Graphics For Honda","1"
"design","G_H00004","Slasher R4 - Graphics For Honda","HWJC","shoptet","","","Slasher R4 - Graphics For Honda","1"
